"الفجوة","الأولوية","الوصف","الحل_المقترح","القسم_المسؤول"
"توضيح مصطلح المستخلصات","HIGH","مصطلح المستخلصات غير واضح في سياق EgyGlass","ميتنج مع راندا لتوضيح المطلوب","الحسابات"
"مصدر إصدار الفواتير الإلكترونية","HIGH","هل الفاتورة تصدر من النظام نفسه أم من نظام خارجي (مصلحة الضرائب)؟","تحديد آلية إصدار الفاتورة","الحسابات+تقنية"
"نوع الضريبة المطبق","HIGH","ضريبة قيمة مضافة أم ضريبة خصم وتحصيل أم كلتاهما؟","تحديد أنواع الضرائب المطبقة","الحسابات+الإدارة"
"ربط مصلحة الضرائب إلكترونياً","HIGH","هل النظام يحتاج ربط مباشر بمصلحة الضرائب؟","تحديد متطلبات الربط الإلكتروني مع مصلحة الضرائب","الحسابات+تقنية"
"مراحل التحصيل لكل مشروع","HIGH","هل في مراحل تحصيل أم مقدم + باقي فقط؟","تحديد هيكل التحصيل لكل مشروع حسب نوعه","الحسابات+المبيعات"
"ترحيل بيانات من نظام محاسبي حالي","HIGH","هل يوجد نظام محاسبي حالي؟ وهل ننقل بياناته؟","مراجعة النظام الحالي وتحديد نطاق الترحيل","الإدارة+الحسابات"
"البيانات المطلوبة في شيت العميل","MEDIUM","ما هي الحقول المطلوبة تحديداً في شيت العميل؟","ورشة عمل مع راندا لتحديد الحقول","الحسابات"
"ربط بنكي/بوابة دفع إلكتروني","MEDIUM","هل يحتاج النظام ربطاً مع البنك أو بوابة دفع؟","تحديد نطاق التكامل المالي المطلوب","الإدارة+الحسابات"
"صلاحية الاطلاع على البيانات المالية","MEDIUM","مين غير راندا يشوف البيانات المالية للعملاء؟","مصفوفة صلاحيات للبيانات المالية","الإدارة+الحسابات"
"تقارير الحسابات الدورية","MEDIUM","التدفق النقدي — العملاء المتأخرين — أرباح/خسائر كل مشروع","تطوير 3 تقارير أساسية للحسابات","الحسابات"
"Audit Trail للجهات الرقابية","MEDIUM","سجل تعديلات للفواتير والمدفوعات","تسجيل كل تعديل مع المستخدم والتاريخ","النظام"
