"المتطلب","المسؤول","ملاحظات","الحالة"
"استلام طلب من المكتب الفني","شكري","لتحديد الخامات والتكاليف","موجود"
"شاشة تحديد الخامات والتوفر","شكري","هل متوفرة في المخزون؟ تجهيز/شراء/تصنيع","موجود"
"إصدار بطاقة إكسسوار","شكري","للطلبات اللي محتاجة شراء","موجود"
"إصدار أمر تصنيع","شكري","للطلبات اللي هتتصنع في المصانع","موجود"
"شاشة تحديد التكاليف","شكري","خامات - أدوات - عمالة - نقل","موجود"
"إرسال تقرير التكاليف للمكتب الفني","شكري","أوتوماتيك","موجود"
"شاشة مراجعة البيانات","فريق المراجعة","مطابقة رسم فاروق + طلب العميل + رسم المعاينات","موجود (بحاجة تعريف الفريق)"
"إرسال الأمر للمصنع","شكري","بعد اعتماد المراجعة","موجود"
"وضع تاريخ متوقع للاستلام","شكري","ظاهر للمبيعات والتركيبات","موجود"
"إشعارات تأخير وتنبيهات","شكري","تنبيه عند قرب/تجاوز المدة المتوقعة","موجود"
"استلام الأوردر + تخزين","شكري","إبلاغ المناديب + الاستلام","موجود"
"إبلاغ التركيبات","شكري","لما الأوردر يكون جاهز في المخزن","موجود"
"شاشة التكاليف النهائية","شكري","إجمالي التكاليف لكل أمر تصنيع","موجود"
