"الفجوة","الأولوية","الوصف","الحل_المقترح","القسم_المسؤول"
"تصنيف العميل (شركة/فرد)","HIGH","يحدد طريقة الفواتير والضرائب","إضافة حقل Company/Individual في بيانات العميل","المبيعات"
"نموذج عقد موحد","HIGH","لا يوجد نموذج عقد قياسي","إنشاء نموذج عقد موحد ببنود ثابتة","المبيعات"
"التعاقد إلكتروني أم ورقى","HIGH","يحدد هل يتم دمج توقيع إلكتروني","تحديد آلية التعاقد قبل بدء البرمجة","النظام"
"حالات الطلب (Order Statuses)","HIGH","الحالات الحالية قد لا تكفي","تحديث قائمة الحالات: جديد ← تحت المعاينة ← في التسعير ← بانتظار العميل ← تعاقد ← تصنيع ← تركيبات ← مكتمل","المبيعات+الكل"
"مدة كل مرحلة (SLA)","HIGH","لا يوجد وقت محدد لكل مرحلة","تحديد SLA لكل خطوة: معاينة 3 أيام تسعير يومين...","الإدارة"
"شاشة إجراءات التعاقد مفقودة","HIGH","طارق ذكرها في الصوتيات لكن بلا تفاصيل","ميتنج مع طارق لتوضيح المطلوب","المبيعات"
"قائمة أسعار أساسية (Price List)","HIGH","لا يوجد مرجع تسعير موحد","إنشاء Price List بالتعاون مع المكتب الفني","المكتب الفني"
"نظام حالي (Excel/CRM)","HIGH","هل هناك بيانات سابقة يتم ترحيلها؟","تحديد النظام الحالي ومدى الحاجة لنقل البيانات","الإدارة"
"الخصم الإضافي - حد أقصى","MEDIUM","هل يوجد حد أقصى للخصم؟ مثلاً 10%","تحديد سقف للخصم حسب صلاحية المدير","المبيعات+الحسابات"
"تقرير أداء كل مندوب","MEDIUM","لا يوجد تقارير أداء حالياً","شاشة تقارير بمؤشرات: عدد العملاء نسبة التحويل الخصومات","المبيعات"
"تقرير العملاء المتكررين","MEDIUM","لا يوجد متابعة للعملاء المتكررين","تقرير يظهر العملاء مع أكثر من طلب","المبيعات"
"تقرير الخصومات الممنوحة","MEDIUM","لضبط سياسة التسعير","تقرير يظهر إجمالي الخصومات لكل مندوب/عميل","المبيعات+الحسابات"
"توقعات المبيعات","MEDIUM","تقدير الإيرادات المتوقعة","تقرير توقعات بناءً على الصفقات في pipeline","المبيعات"
"إلغاء الطلب (Cancellation)","MEDIUM","مين له صلاحية الإلغاء؟","تحديد صلاحيات الإلغاء والرجوع للمراحل السابقة","المبيعات"
"عرض السعر - تاريخ صلاحية","MEDIUM","هل لعرض السعر صلاحية زمنية؟","إضافة حقل تاريخ صلاحية لكل عرض سعر","المبيعات"
"تصنيف العملاء (VIP/عادي/جديد)","LOW","تحديد أولوية المتابعة","إضافة حقل تصنيف للعميل","المبيعات"
"تسجيل مصدر العميل","LOW","إعلان/توصية/واتساب/معرض","إضافة حقل مصدر مع خيارات Drop-down","المبيعات"
