"الرمز","السؤال","الأولوية","الموجة"
"QR-01","المستخلصات (Payment Certificates) إيه بالضبط في سياق EgyGlass؟","HIGH","الموجة 1 - أساسي"
"QR-02","الفواتير الإلكترونية — هتتصدر من النظام نفسه ولا من مصلحة الضرائب؟","HIGH","الموجة 1 - أساسي"
"QR-03","هل في ربط مع بنك أو بوابة دفع إلكتروني؟","MEDIUM","الموجة 2 - تصميم"
"QR-04","في مراحل تحصيل لكل مشروع ولا مقدم + باقي فقط؟","HIGH","الموجة 1 - أساسي"
"QR-05","إيه البيانات اللي عايزاها في شيت العميل بالضبط؟","MEDIUM","الموجة 2 - تصميم"
"QR-06","في تقارير دورية مطلوبة؟ إيه محتواها؟","MEDIUM","الموجة 2 - تصميم"
"QR-07","هل النظام الحالي في الحسابات Excel ولا برنامج محاسبي؟ وهننقل منه بيانات؟","HIGH","الموجة 1 - أساسي"
"QR-08","هل في حاجة مش مطلوبة تدخل في النظام دلوقتي (Out of Scope)؟","HIGH","الموجة 1 - أساسي"
"QR-09","مين غير راندا يقدر يشوف البيانات المالية للعميل؟","MEDIUM","الموجة 2 - تصميم"
"QR-10","هل في ضريبة محددة للشركة (ضريبة قيمة مضافة - ضريبة خصم وتحصيل)؟","HIGH","الموجة 1 - أساسي"
"QR-11","التقارير المالية — هل مطلوب ربطها بمصلحة الضرائب إلكترونياً؟","HIGH","الموجة 1 - أساسي"
"QR-12","التدفق النقدي (Cash Flow) — هل مطلوب تقرير منه؟","LOW","الموجة 3 - تحسينات"
"QR-13","تقرير العملاء المتأخرين في السداد — مطلوب؟","MEDIUM","الموجة 2 - تصميم"
