الإدارة,صاحب المصلحة,المعرف,السؤال,نوع المعلومة,الأولوية,تمت الإجابة؟,ملاحظات
الإدارة العليا,المالك / CEO,CEO-01,ما هي رؤيتك للنظام؟ هل هو ERP متكامل أم حل لربط الإدارات فقط؟,الرؤية الاستراتيجية,فورية,لا,
الإدارة العليا,المالك / CEO,CEO-02,ما هي الميزانية المخصصة للمشروع (تقديرية)؟,الميزانية,فورية,لا,
الإدارة العليا,المالك / CEO,CEO-03,ما هو الموعد النهائي المطلوب للتسليم (Deadline)؟,الجدول الزمني,فورية,لا,
الإدارة العليا,المالك / CEO,CEO-04,هل تفضل النظام سحابي (Cloud) أم على سيرفر داخلي (On-Premise)؟,البنية التقنية,عالية,لا,
الإدارة العليا,المالك / CEO,CEO-05,كم عدد المستخدمين المتوقع للنظام؟,عدد المستخدمين,عالية,لا,
الإدارة العليا,المالك / CEO,CEO-06,هل يوجد نظام حالي يجب الترقية منه أو التكامل معه؟,الأنظمة الحالية,عالية,لا,
الإدارة العليا,المالك / CEO,CEO-07,من سيكون مسؤول اتخاذ القرارات التقنية (IT Manager / مدخل خارجي)؟,الحوكمة,عالية,لا,
الإدارة العليا,المالك / CEO,CEO-08,هل النظام سيستخدم داخل المكتب فقط أم سيكون متاحًا من الموقع (للتركيبات والمعاينات)؟,النطاق الجغرافي,عالية,لا,
الإدارة العليا,المالك / CEO,CEO-09,هل تريد تقارير أو لوحات مؤشرات (Dashboards) لمتابعة الأداء؟,التقارير,متوسطة,لا,
الإدارة العليا,المالك / CEO,CEO-10,هل هناك متطلبات أمان خاصة أو توثيق معين (ISO مثلًا)؟,الأمان والامتثال,متوسطة,لا,
المكتب الفني,مهندس محمد فاروق,TEC-01,ما هي بالضبط مهام المكتب الفني في سير العمل الحالي؟ (تسعير فقط أم تصميم أيضًا؟),الوصف الوظيفي,فورية,لا,
المكتب الفني,مهندس محمد فاروق,TEC-02,كيف تستلم طلبات التسعير حاليًا ومن أي إدارة؟,سير العمل,فورية,لا,
المكتب الفني,مهندس محمد فاروق,TEC-03,ما هي البرامج التي تستخدمها حاليًا؟ (AutoCAD, SolidWorks, Excel, ERP جزئي؟),الأدوات الحالية,عالية,لا,
المكتب الفني,مهندس محمد فاروق,TEC-04,كم يستغرق إعداد عرض سعر في المتوسط؟,الوقت,متوسطة,لا,
المكتب الفني,مهندس محمد فاروق,TEC-05,هل يوجد تسعير موحد (Price List) أم كل عرض تسعير مستقل؟,التسعير,عالية,لا,
المكتب الفني,مهندس محمد فاروق,TEC-06,كيف ترسل رسوم PDF للمصانع حاليًا؟ وهل المصانع محددة أم تتغير؟,التصنيع,عالية,لا,
المكتب الفني,مهندس محمد فاروق,TEC-07,ما نوع "البنود الإضافية" التي تضاف عادةً للأوردر غير الصنفرة؟,المتطلبات الوظيفية,متوسطة,لا,
المكتب الفني,مهندس محمد فاروق,TEC-08,هل تراجع على أعمال المعاينات قبل اعتماد المقاسات؟,التدقيق,متوسطة,لا,
المكتب الفني,مهندس محمد فاروق,TEC-09,كم عدد الموظفين في المكتب الفني؟ (هل أنت الوحيد؟),عدد المستخدمين,متوسطة,لا,
المكتب الفني,مهندس محمد فاروق,TEC-10,ما هي المعلومات التي تريد رؤيتها فور فتح شاشة المكتب الفني في النظام الجديد؟,متطلبات الواجهة,متوسطة,لا,
المبيعات والتسويق,طارق,SAL-01,كم عدد موظفي المبيعات حاليًا؟ وكم عميل لكل موظف تقريبًا؟,سعة النظام,فورية,لا,
المبيعات والتسويق,طارق,SAL-02,ما هي معايير تحويل العميل من "متابعة" إلى "ظَن"؟,التعريفات,عالية,لا,
المبيعات والتسويق,طارق,SAL-03,هل تريد ربط النظام بالواتساب أو البريد الإلكتروني لإرسال العروض تلقائيًا؟,التكامل,متوسطة,لا,
المبيعات والتسويق,طارق,SAL-04,هل يوجد حاليًا تصنيف للعملاء (فرادى / شركات / مقاولون)؟,تصنيف العملاء,متوسطة,لا,
المبيعات والتسويق,طارق,SAL-05,هل تحتاج تقارير مبيعات (شهرية/أسبوعية)؟ وما هي المقاييس المهمة؟,التقارير,متوسطة,لا,
المبيعات والتسويق,طارق,SAL-06,ماذا يحدث بعد الرفض؟ هل هناك متابعة لاحقة بعد فترة؟,سير العمل,متوسطة,لا,
المبيعات والتسويق,طارق,SAL-07,هل تتعاملون مع عروض أسعار بالعملات الأجنبية أم جنيه مصري فقط؟,المالية,منخفضة,لا,
قسم المشروعات,غير معروف,PRJ-01,من هو المسؤول عن قسم المشروعات؟ وما هي مهامه بالضبط؟,التعريف,فورية,لا,
قسم المشروعات,غير معروف,PRJ-02,ما هي العلاقة بين قسم المشروعات والتسويق؟ هل المشروعات هي التنسيق مع العملاء الكبار؟,سير العمل,عالية,لا,
قسم المشروعات,غير معروف,PRJ-03,ما هي البيانات التي ترسلونها لقسم المعاينات؟ (Schematics, Shop Drawings?),المتطلبات الوظيفية,عالية,لا,
قسم المشروعات,غير معروف,PRJ-04,هل قسم المشروعات هو نفسه "إدارة المشاريع" أم شيء آخر؟,التعريف,عالية,لا,
قسم المشروعات,غير معروف,PRJ-05,كم عدد موظفي قسم المشروعات؟,عدد المستخدمين,متوسطة,لا,
قسم المشروعات,غير معروف,PRJ-06,هل قسم المشروعات يتابع المشروع بعد التعاقد أم دوره ينتهي عند التسليم للتسويق؟,سير العمل,عالية,لا,
المعاينات,حسن بهاء,INS-01,كم معاينة تقومون بها أسبوعيًا؟,سعة النظام,منخفضة,لا,
المعاينات,حسن بهاء,INS-02,هل تستخدمون أجهزة قياس رقمية (Laser Distance Meter) أم يدوي؟,الأدوات,منخفضة,لا,
المعاينات,حسن بهاء,INS-03,ما هو متوسط وقت المعاينة الواحدة؟,الوقت,منخفضة,لا,
المعاينات,حسن بهاء,INS-04,هل هناك مواقع خارج القاهرة تحتاج معاينة (سفر)؟,النطاق الجغرافي,منخفضة,لا,
المعاينات,حسن بهاء,INS-05,هل تريد إمكانية رفع صور من الموقع مباشرة عبر الموبايل؟,المتطلبات,منخفضة,نعم,مطلوب (حاليًا ترفع صور)
الحسابات,راندا,ACC-01,هل أنتم مسجلون في منظومة الفاتورة الإلكترونية (ETA)؟,الامتثال,فورية,لا,
الحسابات,راندا,ACC-02,إذا كنتم مسجلين، ما هو اسم مزود خدمة الفاتورة الإلكترونية الحالي؟,التكامل,فورية,لا,
الحسابات,راندا,ACC-03,هل تريدون الربط المباشر مع ETA من النظام الجديد؟,التكامل,عالية,لا,
الحسابات,راندا,ACC-04,هل تتعاملون مع شهادات ضريبية أو خصم تحت حساب الضريبة؟,الامتثال,متوسطة,لا,
الحسابات,راندا,ACC-05,كم عدد المشاريع النشطة ماليًا في نفس الوقت تقريبًا؟,سعة النظام,متوسطة,لا,
الحسابات,راندا,ACC-06,هل يوجد Codification System (كود لكل عميل/مشروع) أم كل شيت مستقل؟,التنظيم,متوسطة,لا,
الحسابات,راندا,ACC-07,هل تحتاج إمكانية إصدار فواتير بالعملة الأجنبية؟,المالية,منخفضة,لا,
المشتريات والمخازن,شكري,PRC-01,كم مصنعًا تتعاملون معه حاليًا؟ وهل هو ثابت أم يتغير؟,الموردون,عالية,لا,
المشتريات والمخازن,شكري,PRC-02,كيف يتم الاتصال بالمصنع حاليًا (إيميل/واتساب/بوابة)؟,التواصل,متوسطة,لا,
المشتريات والمخازن,شكري,PRC-03,هل توزع إشعارات المناديب الآن؟ وكيف؟,سير العمل,متوسطة,لا,
المشتريات والمخازن,شكري,PRC-04,كيف تحسب التكاليف حاليًا؟ هل هناك شيت تكاليف موحد؟,المالية,عالية,لا,
المشتريات والمخازن,شكري,PRC-05,هل تتعامل مع موردي إكسسوارات منفصلين عن المصنع الرئيسي؟,المشتريات,عالية,لا,
المشتريات والمخازن,شكري,PRC-06,كم أوردر تصنيع شهريًا تقريبًا؟,سعة النظام,متوسطة,لا,
المشتريات والمخازن,شكري,PRC-07,هل يوجد نظام باركود أو ترقيم للمخزون حاليًا؟,المخازن,متوسطة,لا,
المشتريات والمخازن,شكري,PRC-08,هل تريد تتبع المخزون (رصيد) أم فقط تتبع المشاريع (تكاليف)؟,المخازن,متوسطة,لا,
التركيبات,إسلام السيد,IMT-01,كم فريق تركيب متاح حاليًا؟ وكم فردًا في كل فريق؟,الموارد البشرية,عالية,لا,
التركيبات,إسلام السيد,IMT-02,كم تركيب شهريًا تقريبًا؟,سعة النظام,متوسطة,لا,
التركيبات,إسلام السيد,IMT-03,هل تواجه مشاكل مع تأخير المصنع حاليًا؟ وكم نسبة التأخير؟,المخاطر,متوسطة,لا,
التركيبات,إسلام السيد,IMT-04,هل تحتاج تقارير جودة (بالصور) لكل مشروع؟,التقارير,منخفضة,نعم,مطلوب
التركيبات,إسلام السيد,IMT-05,هل توجد أعمال صيانة بعد التسليم (Post-Delivery)?,خدمة ما بعد البيع,متوسطة,لا,
عام (جميع الإدارات),جميع المدراء,GEN-01,كم عدد الموظفين في كل إدارة؟,عدد المستخدمين,فورية,لا,
عام (جميع الإدارات),جميع المدراء, GEN-02,ما هي الأجهزة المستخدمة حاليًا؟ (كمبيوتر مكتبي / لابتوب / تابلت),البنية التحتية,عالية,لا,
عام (جميع الإدارات),جميع المدراء, GEN-03,هل الإنترنت متوفر في جميع مواقع العمل (مخازن، مواقع تركيب)؟,البنية التحتية,عالية,لا,
عام (جميع الإدارات),جميع المدراء, GEN-04,هل يوجد IT Support داخلي أم خارجي؟,الدعم الفني,عالية,لا,
عام (جميع الإدارات),جميع المدراء, GEN-05,هل هناك أي نظام أو أداة مستخدمة حاليًا يجب التكامل معها؟ (مثل: برنامج محاسبة، CRM),الأنظمة الحالية,فورية,لا,
عام (جميع الإدارات),جميع المدراء, GEN-06,ما هي لغة الواجهة المفضلة؟ (عربية / إنجليزية / كلتاهما),واجهة المستخدم,منخفضة,لا,
عام (جميع الإدارات),جميع المدراء, GEN-07,هل تحتاج النظام يدعم صلاحية "قارئ" (مستخدم يطلع فقط بدون تعديل) لبعض المدراء؟,الصلاحيات,منخفضة,لا,
