"المتطلب","المسؤول","ملاحظات","الحالة"
"شاشة توزيع الطلبات (المدير)","مدير المبيعات","توزيع على الموظفين + تعديل في أي وقت","موجود"
"شاشة مندوب المبيعات","مندوب المبيعات","يظهر له عملاءه فقط + شاشة بحث بعملاء الآخرين (قراءة)","موجود"
"شاشة Updates يومي","فريق المبيعات","كتابة Update لكل عميل بالوقت والتاريخ","موجود"
"شاشة تحويل المتابعة → الظن","فريق المبيعات","لما يظن العميل يتحول مع History كامل","موجود"
"شاشة العينات","فريق المبيعات","تسجيل طلب عينة + متابعة الرد","موجود"
"شاشة أسباب الرفض","فريق المبيعات","تسجيل سبب رفض العميل + تقارير","موجود"
"بروفايل العميل الكامل","الكل حسب الصلاحية","History من أول اتصال لآخر حاجة","موجود (شاشة محورية)"
"شاشة تفويض العملاء","مدير المبيعات","تحويل عميل لموظف تاني مع كل الـHistory","موجود"
"إشعارات التفويض","الموظف المستقبل","إشعار عند تفويض عميل له","موجود"
"شاشة إجراءات التعاقد","طارق","مذكورة في الصوتيات لكن التفاصيل مفقودة","مفقودة - استفسار HIGH"
"شاشة متابعة الطلبات المعلقة","مدير المبيعات","تحديد سبب التعليق لكل طلب","موجود (من Dashboard)"
"شاشة الطلبات المنتهية","فريق المبيعات","أرشيف كامل للمشاريع المكتملة","موجود (من Dashboard)"
"شاشة إرسال طلب معاينة","فريق المبيعات","ربط مع قسم المعاينات","موجود (من Dashboard)"
"شاشة إنشاء عرض سعر","فريق المبيعات","بعد التسعير من المكتب الفني","موجود (من Dashboard)"
"شاشة الموافقة على الخصم","مدير المبيعات","صلاحية المدير فقط","موجود (من Dashboard)"
