"الرمز","السؤال","الأولوية","الموجة"
"QK-01","ما هو MRI بالضبط في سياق EgyGlass؟ (فحص مواد أم اعتماد رسم؟)","HIGH","الموجة 1 - أساسي"
"QK-02","هل كريم يشتغل على كل المشاريع ولا نوعيات معينة (كبيرة فقط)؟","HIGH","الموجة 1 - أساسي"
"QK-03","ما الفرق بين دور كريم ودور طارق (المبيعات) بعد التعاقد؟","HIGH","الموجة 1 - أساسي"
"QK-04","هل كريم يقدر يضيف تعليقات على الرسومات الفنية ولا بس يشوف؟","MEDIUM","الموجة 2 - تصميم"
"QK-05","إيه التقارير اللي محتاجها بشكل دوري عن المشاريع؟","MEDIUM","الموجة 2 - تصميم"
"QK-06","هل في حاجة مش مطلوبة تدخل في النظام دلوقتي (Out of Scope)؟","HIGH","الموجة 1 - أساسي"
"QK-07","إيه الموافقات (Approvals) المطلوبة غير رسومات المكتب الفني؟","MEDIUM","الموجة 2 - تصميم"
"QK-08","ما الفرق بين IR (Inspection Request) و MRI؟","HIGH","الموجة 1 - أساسي"
"QK-09","مين اللي بيعمل الـ IR؟ كريم بيطلبه ولا التركيبات هي اللي تبدأه؟","HIGH","الموجة 1 - أساسي"
"QK-10","التحديث اليومي من التركيبات — manual entry ولا automatic؟","MEDIUM","الموجة 2 - تصميم"
"QK-11","مقاسات المعاينة — كريم يقارنها بالرسومات بنفسه ولا النظام؟","LOW","الموجة 3 - تحسينات"
