"الرمز","السؤال","الأولوية","الموجة"
"QI-01","البنود الإضافية — بيضيفها أي فرد في فريقك ولا أنت بس؟","MEDIUM","الموجة 2 - تصميم"
"QI-02","بعد إضافة بدل كسر — هل يتعمل أمر تصنيع تلقائي؟","MEDIUM","الموجة 2 - تصميم"
"QI-03","الصور والتقارير بعد التركيب — إجبارية للإغلاق؟","MEDIUM","الموجة 2 - تصميم"
"QI-04","التعديل على العملية — مين له الصلاحية؟","MEDIUM","الموجة 2 - تصميم"
"QI-06","ملاحظات العميل — ظاهرة لكل الأقسام ولا للمبيعات فقط؟","MEDIUM","الموجة 2 - تصميم"
"QI-07","خطأ مكتب فني — يحتاج موافقة قبل إعادة التصنيع؟","MEDIUM","الموجة 2 - تصميم"
"QI-08","تأجيل العميل — تغيير الحالة لمؤجل أم تغيير التاريخ فقط؟","MEDIUM","الموجة 2 - تصميم"
"QI-09","إيه التقارير المطلوبة دورياً؟","MEDIUM","الموجة 2 - تصميم"
"QI-10","هل في حاجة مش مطلوبة (Out of Scope)؟","HIGH","الموجة 1 - أساسي"
"QI-12","كسر موقع — التكلفة على مين؟","MEDIUM","الموجة 2 - تصميم"
"QI-13","الـ Data عن Location — عايز إيه غير العنوان؟","MEDIUM","الموجة 2 - تصميم"
"QI-14","البنود الإضافية — لها أسعار ثابتة ولا حسب الحالة؟","MEDIUM","الموجة 2 - تصميم"
"QI-17","فريق التركيبات — كام فرد عشان نحدد الصلاحيات؟","MEDIUM","الموجة 2 - تصميم"
