"الفجوة","الأولوية","الوصف","الحل_المقترح","القسم_المسؤول"
"تعديل الأسعار والكميات هل يحتاج موافقة؟","HIGH","شكري يقدر يغير سعر/كمية الإكسسوار","تحديد عتبة التعديل المسموح بها دون موافقة","المشتريات+المكتب الفني"
"مرجع التكلفة: سعر البطاقة أم سعر الشراء الفعلي؟","HIGH","الفرق يؤثر على هامش الربح بشكل كبير","توحيد مرجع التكلفة ليكون سعر الشراء الفعلي","المشتريات+الحسابات"
"Client ID موحد لربط الأقسام","HIGH","لا يوجد رقم تعريف موحد للعميل يربط البيانات","إنشاء Client ID أوتوماتيكي","النظام"
"فريق المراجعة والتدقيق غير معروف","HIGH","مين بالضبط هذا الفريق؟ شخص واحد؟ لجنة؟","تحديد أعضاء فريق المراجعة وصلاحياتهم","الإدارة"
"ربط المخزون بالأوردرات","HIGH","هل في ربط آلي بين المخزون وبطاقة الإكسسوار؟","تكامل مباشر بين شاشة المخزون وشاشة بطاقة الإكسسوار","المشتريات+تقنية"
"مصانع محددة ولا متغيرة؟","HIGH","هل في مصانع ثابتة أم المصنع يختلف حسب كل أمر؟","تحديد قائمة المصانع المعتمدة لكل نوع منتج","المشتريات"
"إشعارات التأخير: System Notification أم إيميل؟","MEDIUM","وسيلة الإشعار غير محددة","دعم multiple channels: System + Email","النظام"
"شاشة التكاليف: منفصلة أم جزء من الأمر؟","MEDIUM","هل التكاليف لها شاشة مستقلة أم تابعة لأمر التصنيع؟","شاشة تكاليف مستقلة مرتبطة بأمر التصنيع","المشتريات"
"بنود إضافية (صنفرة) — مين بيضيفها؟","MEDIUM","المكتب الفني ولا المبيعات؟","تحديد صلاحية إضافة البنود الإضافية لكل قسم","المبيعات+المكتب الفني+المشتريات"
"خطأ تصنيع — مين يتحمل التكلفة؟","MEDIUM","المصنع ولا الشركة؟","سياسة واضحة للمسؤولية المالية","المشتريات"
"كسر موقع — مين يتحمل التكلفة؟","MEDIUM","أثناء التركيب — المندوب ولا الشركة ولا العميل؟","تحديد مسؤولية التكلفة لكل حالة","المشتريات+التركيبات"
"تكلفة العينة — هل بتتسجل؟","LOW","التكاليف الفعلية للعينة لحساب تكلفة التسويق","إضافة حقل تكلفة العينة في شاشة العينات","المشتريات+المبيعات"
"تقييم المصانع","LOW","لا يوجد نظام لتقييم أداء المصانع","تقرير دوري بأداء المصانع: نسبة الأخطاء والتأخير","المشتريات"
