ID	العنوان	User Story	الأولوية	معيار القبول	الحالة
US-001	توزيع الطلبات	بصفتي مدير المبيعات، أريد لوحة تحكم لتوزيع الطلبات على الموظفين (بما فيهم نفسي) حتى أتمكن من إدارة عبء العمل بكفاءة	ضروري	- المدير يحدد الموظف المستهدف لكل طلب\n- يظهر التوزيع فوريًا لكل موظف\n- يمكن التعديل في أي وقت	جديد
US-002	شاشة الموظف	بصفتي موظف مبيعات، أريد شاشة تعرض عملائي فقط حتى أركز على مهامي دون تشتت	ضروري	- ظهور العملاء المخصصين لي فقط\n- إمكانية البحث في عملاء الزملاء للقراءة فقط\n- وصول كامل للهستوري	جديد
US-003	تغطية الغياب	بصفتي مدير المبيعات، أريد تفعيل تغطية موظف لزميله الغائب حتى لا تتوقف متابعة العملاء	ضروري	- الموظف المغطي يرى عملاء زميله كاملين\n- وصول للهستوري كاملًا مع صلاحيات التحديث\n- إشعار للطرفين بالتغطية	جديد
US-004	تسجيل تحديثات متابعة	بصفتي موظف مبيعات، أريد تسجيل تحديثات مؤرخة ومُوقّتة لكل متابعة حتى يكون سجل التفاعلات دقيقًا	ضروري	- حقل تاريخ/وقت تلقائي لكل تحديث\n- إمكانية إضافة نص حر\n- يظهر التحديث فوريًا في هستوري العميل	جديد
US-005	شاشة شغال جاري	بصفتي موظف مبيعات، أريد شاشة "شغال جاري" للعملاء تحت المتابعة حتى أتتبع من لم يصل لمرحلة الظَن بعد	ضروري	- عرض قائمة العملاء تحت المتابعة فقط\n- إظهار آخر تحديث لكل عميل\n- تحويل للظَن عندما يكون جاهزًا	جديد
US-006	شاشة الظَن	بصفتي موظف مبيعات، أريد شاشة للعملاء المؤهلين (ظَن) مع هستوري كامل حتى أتابع فرص البيع الجادة	ضروري	- العملاء ينتقلون تلقائيًا عند التأهيل\n- هستوري كامل من أول تواصل\n- إمكانية تحويل لتعاقد أو رفض	جديد
US-007	بروفايل عميل كامل	بصفتي مدير المبيعات، أريد بروفايل لكل عميل يشمل كل التفاعلات من أول اتصال حتى التسليم حتى يكون لدينا سجل موثوق	ضروري	- جميع التفاعلات (مكالمات، تحديثات، عروض، معاينات)\n- إمكانية تصفية حسب التاريخ\n- ظهور لكل الإدارات المصرح لها	جديد
US-008	تسجيل أسباب الرفض	بصفتي موظف مبيعات، أريد تسجيل سبب رفض العميل للعرض حتى نحلل ونحسّن العروض المستقبلية	ضروري	- قائمة منسدلة بأسباب الرفض الشائعة + نص حر\n- إحصائية بعدد مرات كل سبب\n- المعلومة تظهر في بروفايل العميل	جديد
US-009	تحويل لمعاينة	بصفتي موظف مبيعات، أريد تحويل طلب العميل لمعاينة تلقائيًا إلى قسم المعاينات مع بيانات الموقع حتى لا تضيع المعلومات	ضروري	- إدخال عنوان + تواصل العميل\n- إرسال تلقائي لشاشة المعاينات\n- إشعار للمعاينات بطلب جديد	جديد
US-010	استلام فيدباك المعاينة	بصفتي موظف مبيعات، أريد استلام فيدباك المعاينة تلقائيًا بعد انتهائها حتى أتابع مع العميل	ضروري	- إشعار عند إتمام المعاينة\n- عرض نتيجة المعاينة في بروفايل العميل\n- إشعار بإعادة التسعير إن لزم	جديد
US-011	نقل عميل لموظف آخر	بصفتي مدير المبيعات، أريد نقل عميل من موظف لآخر مع إشعار عند سفر/مرض الموظف الأصلي حتى تستمر المتابعة	ضروري	- اختيار الموظف المستلم\n- نقل الهستوري كاملًا\n- إشعار لكل من الموظفين	جديد
US-012	استلام طلب معاينة	بصفتي مسؤول المعاينات، أريد استلام طلب معاينة (عنوان + تواصل) من المبيعات حتى أبدأ عملية المعاينة	ضروري	- ظهور الطلب في شاشة المعاينات فوريًا\n- عرض بيانات العميل والموقع\n- إمكانية قبول أو إعادة جدولة	جديد
US-013	تسجيل مقاسات	بصفتي مسؤول المعاينات، أريد تسجيل المقاسات بعد المعاينة وإرسالها للمكتب الفني تلقائيًا حتى يتم إعادة التسعير	ضروري	- إدخال المقاسات بنظام\n- ربطها بطلب العميل\n- إرسال تلقائي للمكتب الفني	جديد
US-014	تسليم رسم + إكسسوار	بصفتي مسؤول المعاينات، أريد تسليم الرسم التنفيذي للمكتب الفني وبطاقة الإكسسوار للمخازن عند التعاقد حتى يبدأ التصنيع	ضروري	- إدخال الرسم التنفيذي + بطاقة الإكسسوار\n- توجيه تلقائي للمستلمين\n- إشعار بالاستلام	جديد
US-015	عرض سعر	بصفتي المكتب الفني، أريد استلام طلب عرض سعر وإعداده وإرساله تلقائيًا للمبيعات حتى يتابع مع العميل	ضروري	- استلام إشعار بطلب عرض سعر جديد\n- إدخال بنود التسعير\n- إرسال تلقائي للمبيعات	جديد
US-016	إعادة تسعير	بصفتي المكتب الفني، أريد إعادة تسعير عند اختلاف المقاسات بعد المعاينة حتى يكون السعر دقيقًا	ضروري	- استلام المقاسات الجديدة تلقائيًا\n- تعديل العرض القديم مع حفظ النسخ\n- إرسال للعميل عبر المبيعات	جديد
US-017	رسوم PDF للمصانع	بصفتي المكتب الفني، أريد رفع رسوم PDF للمصانع مرتبطة بالأوردر حتى يبدأ التصنيع	ضروري	- رفع ملف PDF لكل أوردر\n- ربطه بأمر التصنيع\n- إتاحته للمشتريات والمخازن	جديد
US-018	بنود إضافية	بصفتي المكتب الفني، أريد إضافة بنود خاصة (مثل صنفرة) لأمر التصنيع حتى تكون المواصفات كاملة	مهم	- إضافة بند اختياري\n- يظهر ضمن مكونات الأوردر\n- مرئي للمشتريات	جديد
US-019	أمر تصنيع موحد	بصفتي مدير المشتريات، أريد استلام أمر تصنيع كامل (رسم + بطاقة إكسسوار + إضافات) حتى يكون كل شيء في مكان واحد	ضروري	- جميع المكونات في واجهة واحدة\n- حالة واضحة (مكتمل/ناقص)\n- رفض الأوردر الناقص	جديد
US-020	مراجعة مطابقة	بصفتي مدير المشتريات، أريد مراجعة مطابقة الرسمين مع بطاقة الإكسسوار قبل التصنيع حتى أمنع الأخطاء	ضروري	- عرض جميع المستندات جنبًا إلى جنب\n- زر "تطابق" للموافقة أو "إعادة" مع تعليق\n- لا ينتقل الأوردر للتصنيع بدون المراجعة	جديد
US-021	إشعارات تأخير	بصفتي مدير المشتريات، أريد إشعارات تنبؤ عند تأخير الأوردر عن التاريخ المتوقع حتى أتخذ الإجراء	ضروري	- إدخال تاريخ متوقع عند الإرسال للمصنع\n- تنبيه تلقائي عند تجاوز التاريخ\n- إشعار للمتابعين	جديد
US-022	إشعار جاهزية	بصفتي مدير المشتريات، أريد إرسال إشعار تلقائي للتركيبات عند اكتمال الأوردر في المخزن حتى يبدأ التركيب	ضروري	- زر "جاهز" عند اكتمال الأوردر\n- إشعار للتركيبات + المبيعات\n- تحديث حالة المشروع	جديد
US-023	تسجيل التكاليف الكاملة	بصفتي مدير المشتريات، أريد تسجيل كل التكاليف (طلب شراء + تصنيع + مستهلكات + نقل) لكل مشروع حتى تكون التكلفة الإجمالية ظاهرة	ضروري	- إدخال بنود التكلفة لكل أوردر\n- إجمالي تلقائي لكل مشروع\n- تقارير تكاليف قابلة للتصدير	جديد
US-024	جدولة تركيب	بصفتي مسؤول التركيبات، أريد جدولة موعد تركيب مع العميل بعد استلام إشعار الجاهزية حتى أنسق العمل	ضروري	- إدخال تاريخ ووقت التركيب\n- إشعار للعميل + المبيعات\n- ربط ببروفايل المشروع	جديد
US-025	تسجيل بنود خاصة	بصفتي مسؤول التركيبات، أريد تسجيل بنود (بدل كسر، خطأ تصنيع، خطأ مكتب فني، تأجيل) عند التركيب حتى يكون سجل المشروع دقيقًا	ضروري	- قائمة منسدلة من البنود\n- إضافة تعليق توضيحي\n- البنود تظهر في بروفايل المشروع	جديد
US-026	رفع صور وتقارير	بصفتي مسؤول التركيبات، أريد رفع صور وتقارير بعد انتهاء التركيب حتى يُوثّق اكتمال المشروع	ضروري	- رفع صور متعددة\n- إدخال تقرير نصي\n- تحديث حالة المشروع لـ "مكتمل"	جديد
US-027	بيانات الموقع	بصفتي مسؤول التركيبات، أريد رؤية بيانات الموقع (location + تليفون + طرق) وتفاصيل المسؤولين عن المشروع حتى أتوجه بسهولة	ضروري	- عرض الخريطة/العنوان\n- أرقام التواصل\n- أسماء المسؤولين (مكتب فني، معاينات، تعاقدات)	جديد
US-028	تسجيل دفعة مقدمة	بصفتي مديرة الحسابات، أريد تسجيل الدفعة المقدمة لكل عميل بعد التعاقد حتى يكون السجل المالي دقيقًا	ضروري	- ربط الدفعة ببروفايل العميل/المشروع\n- إصدار إيصال\n- تحديث رصيد العميل	جديد
US-029	فواتير إلكترونية	بصفتي مديرة الحسابات، أريد إدارة الفواتير الإلكترونية (والتكامل مع ETA إن أمكن) حتى أمتثل للمتطلبات القانونية	ضروري	- إنشاء فاتورة إلكترونية معتمدة\n- إرسال للعميل\n- تكامل مع منظومة ETA (في المرحلة الثانية)	جديد
US-030	المستخلصات	بصفتي مديرة الحسابات، أريد إدارة المستخلصات لكل مشروع حتى أتابع الدفعات الباقية	ضروري	- إنشاء مستخلص لكل مشروع\n- تتبع الدفعات المدفوعة والمتبقية\n- تحديث آلي للشيت المالي	جديد
US-031	سجل مالي شامل	بصفتي مديرة الحسابات، أريد شيتًا واحدًا لكل عميل يظهر جميع الحسابات والمبالغ المستحقة حتى يكون عندي صورة كاملة	ضروري	- عرض جميع المعاملات المالية\n- إجمالي المبالغ المدفوعة والمستحقة\n- إمكانية التصدير لـ Excel	جديد
US-032	طلب عينات	بصفتي موظف مبيعات، أريد إرسال طلب عينة لشاشة المعاينات مع تفاصيل العينة المطلوبة حتى يحضرها العميل	مهم	- اختيار نوع العينة المطلوبة\n- تحديد المنطقة\n- إرسال تلقائي لشاشة المعاينات	جديد
US-033	فيدباك العينات	بصفتي موظف مبيعات، أريد استلام فيدباك العينات من الإدارة المختصة تلقائيًا حتى أبلغ العميل	مهم	- إدخال الفيدباك في شاشة المعاينات\n- إرجاع تلقائي للمبيعات\n- ظهوره في بروفايل العميل	جديد
US-034	تغطية الطلبات	بصفتي موظف مبيعات، أريد تكليف زميل لي لمتابعة عميل معين مؤقتًا مع إشعار الطرفين حتى لا تتوقف الخدمة	مهم	- اختيار الموظف البديل من القائمة\n- إشعار للموظف المستلم + صاحب الطلب\n- إنهاء التغطية تلقائيًا بعد المدة المحددة	جديد
US-035	إدارة صلاحيات	بصفتي مدير النظام، أريد إدارة صلاحيات المستخدمين (مدير/موظف) حتى يرى كل مستخدم المحتوى المصرح له فقط	ضروري	- تحديد دور (مدير، موظف، قارئ)\n- صلاحية المدير: كل شيء\n- صلاحية الموظف: عملاءه + بحث في زملائه (قراءة)	جديد
US-036	Audit Trail	بصفتي مدير النظام، أريد سجل تدقيق (Audit Trail) لكل إجراء في النظام حتى أتمكن من تتبع التغييرات	ضروري	- تسجيل كل إجراء مع المستخدم والتاريخ والوقت\n- واجهة عرض مع فلترة\n- غير قابل للتعديل أو الحذف	جديد
US-037	إشعار تنبيه تأخير	بصفتي مدير المشتريات، أريد تنبيهًا عند تأخر الأوردر عن التاريخ المتوقع حتى أتابع مع المصنع	ضروري	- إدخال تاريخ متوقع\n- تنبيه تلقائي عند تجاوز التاريخ\n- إشعار لكل المتابعين	جديد
US-038	حالة المشروع	بصفتي مدير المبيعات، أريد رؤية حالة كل مشروع في الوقت الفعلي (أين هو في دورة العمل) حتى أبلغ العميل بدقة	ضروري	- شاشة عرض حالة المشروع\n- تحديث تلقائي مع كل إجراء\n- إظهار الإدارة الحالية والتاريخ	جديد
US-039	إضافة بند صنفرة	بصفتي المكتب الفني، أريد إضافة بند صنفرة لأمر التصنيع حسب حاجة العميل حتى تكون المواصفات كاملة	مهم	- إضافة بند إضافي ضمن الأوردر\n- يظهر ضمن التكاليف\n- يطبع مع الأوردر للمصنع	جديد
US-040	صفحة تكاليف المشروع	بصفتي مدير المشتريات، أريد لوحة تعرض التكلفة الإجمالية (تصنيع + إكسسوارات + مستهلكات + نقل) لكل مشروع حتى أعرف الربحية	ضروري	- إجمالي تلقائي لجميع بنود التكلفة\n- تفصيل حسب البند\n- تقارير قابلة للطباعة	جديد
