"الرمز","السؤال","الأولوية","الموجة"
"QP-01","لو عدلت سعر/كمية في بطاقة المشتريات هل محتاج موافقة؟","MEDIUM","الموجة 2 - تصميم"
"QP-02","مين بيدخل بنود التكاليف (نقل - أدوات - نسرية)؟","MEDIUM","الموجة 2 - تصميم"
"QP-03","الخامات الإضافية — لها حد أقصى؟","MEDIUM","الموجة 2 - تصميم"
"QP-05","خطأ تصنيع — المصنع يتحمل التكلفة ولا الشركة؟","MEDIUM","الموجة 2 - تصميم"
"QP-06","كسر موقع — مين يتحمل التكلفة؟","MEDIUM","الموجة 2 - تصميم"
"QP-08","إيه التقارير المطلوبة دورياً؟","MEDIUM","الموجة 2 - تصميم"
"QP-09","هل في حاجة مش مطلوبة (Out of Scope)؟","HIGH","الموجة 1 - أساسي"
"QP-10","العينة — من مخزون موجود ولا تروح المصنع؟","MEDIUM","الموجة 2 - تصميم"
"QP-12","إشعارات التأخير — Notification أم إيميل؟","MEDIUM","الموجة 2 - تصميم"
"QP-13","في مصانع محددة أم المصنع يختلف؟","HIGH","الموجة 1 - أساسي"
"QP-14","في ربط بين المخزون والأوردرات؟","HIGH","الموجة 1 - أساسي"
"QP-15","تحديد وقت متوقع — أنت تحدده أم بالتشاور مع المصنع؟","MEDIUM","الموجة 2 - تصميم"
"QP-16","تقارير التكاليف — متاحة لمين غيرك؟","MEDIUM","الموجة 2 - تصميم"
"QP-17","مين بالضبط فريق المراجعة والتدقيق؟","HIGH","الموجة 1 - أساسي"
